location,name,online_order,book_table,rate,cost,type,location_id,name_id,cuisines_str
Bannerghatta Road,D2V Cafe,No,No,3.6,700.0,Delivery,7.0,2007.0,Cafe
JP Nagar,Gharelu Zaika,Yes,No,3.7,250.0,Delivery,6.0,6941.0,North Indian
JP Nagar,Slate Cafe,Yes,No,4.1,600.0,Desserts,6.0,2528.0,"Cafe, Sandwich, Burger"
Bannerghatta Road,Kailash Parbat,No,No,3.1,600.0,Dine-out,7.0,285.0,"North Indian, Street Food"
BTM,The Chef Restaurant,No,No,3.57,600.0,Dine-out,1.0,5790.0,"North Indian, Chinese, South Indian"
Shanti Nagar,Adda,No,No,3.3,300.0,Delivery,37.0,2871.0,South Indian
Jayanagar,The Blue Wagon - Kitchen,Yes,No,4.6,400.0,Dine-out,9.0,2630.0,"Cafe, Beverages"
Bellandur,Singh Saheb Di Rasoi,Yes,No,3.2,800.0,Delivery,8.0,5423.0,North Indian
Bellandur,Corner Huts,Yes,No,3.8,300.0,Delivery,8.0,3508.0,"North Indian, Chinese, Biryani, South Indian"
HSR,Homemade Delite,No,No,3.6,200.0,Desserts,4.0,7030.0,"Bakery, Desserts"
Bellandur,Domino's Pizza,Yes,No,3.2,800.0,Dine-out,8.0,3.0,"Pizza, Fast Food"
Indiranagar,Imperial Restaurant,Yes,No,3.9,800.0,Delivery,2.0,136.0,"North Indian, Chinese, Biryani, Kebab, Juices"
Banashankari,Cocoa Bakes,Yes,No,3.6,350.0,Delivery,13.0,558.0,"Bakery, Desserts"
Banashankari,Utsav,Yes,No,3.7,200.0,Delivery,13.0,6002.0,"North Indian, Street Food"
Banashankari,Udupi Upachar,Yes,No,3.3,500.0, 'Akki Roti',13.0,385.0,"South Indian, North Indian"
Banashankari,Vi Ra's Bar and Restaurant,No,No,3.3,800.0,Drinks & nightlife,13.0,2741.0,"South Indian, North Indian, Chinese"
Bannerghatta Road,Smoor,Yes,No,3.6,900.0,Cafes,7.0,51.0,"Desserts, Cafe, Beverages"
BTM,Masale Daan,Yes,No,3.57,350.0,Delivery,1.0,118.0,North Indian
Bannerghatta Road,Guru Palace,Yes,No,3.1,450.0,Delivery,7.0,3920.0,"Chinese, North Indian"
JP Nagar,Alif Restaurant,Yes,No,3.6,600.0,Delivery,6.0,6246.0,"North Indian, Chinese"
South Bangalore,BBQ Ride 46,Yes,No,3.4,200.0,Delivery,67.0,3047.0,BBQ
Bannerghatta Road,Sapid,No,No,3.51,250.0,Delivery,7.0,8117.0,North Indian
Bannerghatta Road,The Sandesh Factory,No,No,3.51,150.0,Delivery,7.0,2679.0,"Mithai, Desserts"
JP Nagar,Sree Krishna Kafe,No,No,3.9,200.0,Delivery,6.0,684.0,South Indian
JP Nagar,Chicken Dera,No,No,3.0,400.0,Delivery,6.0,3421.0,"Mughlai, Kebab, Biryani"
Kumaraswamy Layout,Navab's,Yes,No,3.46,600.0,Delivery,43.0,182.0,"North Indian, Chinese"
Bannerghatta Road,Cafe Choco Craze,No,No,3.7,400.0,Desserts,7.0,1098.0,"Cafe, Fast Food, Desserts"
JP Nagar,Berrylicious,Yes,No,3.8,400.0,Desserts,6.0,1049.0,"Ice Cream, Desserts, Bakery"
Bannerghatta Road,A-1 Chicken Biriyani & Kababs,No,No,3.51,200.0,Dine-out,7.0,2834.0,Mughlai
JP Nagar,Le Arabia,Yes,No,3.68,600.0,Dine-out,6.0,436.0,"North Indian, Mughlai"
BTM,Udupi Thadka,No,No,3.57,250.0,Dine-out,1.0,5976.0,"South Indian, Chinese, North Indian"
Koramangala 5th Block,Karavali Grand,Yes,No,3.7,600.0,Delivery,11.0,1346.0,"Mangalorean, Seafood, North Indian, Chinese"
Basavanagudi,Parijatha,No,No,3.67,400.0,Delivery,18.0,4967.0,"South Indian, Chinese"
Basavanagudi,Chamrajpet Chats And Juice Corner,No,No,3.67,150.0,Delivery,18.0,6584.0,Fast Food
Sarjapur Road,Poha On Wheels,Yes,No,3.69,100.0,Delivery,10.0,1509.0,Fast Food
Sarjapur Road,Sweet Truth,Yes,No,3.9,500.0,Delivery,10.0,16.0,"Bakery, Desserts"
Bellandur,NH-1,Yes,No,3.8,600.0,Delivery,8.0,7645.0,North Indian
Sarjapur Road,Foodies Hub,Yes,No,3.1,500.0,Delivery,10.0,3798.0,"North Indian, South Indian, Seafood"
HSR,Brimstone Cafe,Yes,Yes,4.0,434.49684210526317,Delivery,4.0,1884.0,"Cafe, Continental, Salad, Italian"
Sarjapur Road,Tastebuds,Yes,No,3.7,300.0,Delivery,10.0,5718.0,"Bakery, Fast Food"
Bellandur,Spice Of Kolkata,No,No,2.8,400.0,Dine-out,8.0,5484.0,"Bengali, Rolls, Chinese"
Indiranagar,Lassi Shop,Yes,No,3.8,100.0,Delivery,2.0,25.0,"Beverages, Juices, Ice Cream"
Domlur,Venus Biryani,Yes,No,3.0,200.0,Delivery,30.0,1722.0,"Biryani, Chinese"
Indiranagar,Ooty Chocolates,Yes,No,3.8,300.0,Delivery,2.0,213.0,Desserts
Brigade Road,Cookie Man,Yes,No,3.4,150.0,Delivery,20.0,134.0,Bakery
Banashankari,Kaggis,No,No,3.8,250.0,Delivery,13.0,2188.0,"Fast Food, Bakery"
Banashankari,Srikrishna Bhavan,Yes,No,3.8,300.0,Dine-out,13.0,5566.0,"South Indian, North Indian, Chinese"
Banashankari,Sree Sagar,Yes,No,3.65,200.0,Dine-out,13.0,5509.0,South Indian
Basavanagudi,Baisakhi,Yes,No,3.8,500.0,Dine-out,18.0,3061.0,North Indian
Basavanagudi,Aadhya Hotel,Yes,No,3.3,800.0,Dine-out,18.0,1771.0,"South Indian, North Indian, Chinese, Biryani"
Bannerghatta Road,Red Chilli Restaurant,Yes,No,3.2,350.0,Delivery,7.0,5143.0,"North Indian, Chinese"
Bannerghatta Road,Domino's Pizza,Yes,No,3.0,800.0,Delivery,7.0,3.0,"Pizza, Fast Food"
JP Nagar,New Udupi Grand,Yes,No,3.5,300.0,Delivery,6.0,184.0,"South Indian, North Indian, Chinese"
Bannerghatta Road,Juice Land,Yes,No,3.9,300.0,Delivery,7.0,7244.0,"Juices, Beverages"
JP Nagar,Paratha Plaza,Yes,No,3.8,250.0,Delivery,6.0,119.0,North Indian
Bannerghatta Road,Rolls On Wheels,No,No,3.4,300.0,Delivery,7.0,22.0,"Fast Food, Rolls, Momos"
Bannerghatta Road,Chef & Dine,Yes,No,3.2,650.0,Dine-out,7.0,3403.0,"North Indian, Arabian, Fast Food"
BTM,Litti Twist,Yes,No,4.2,300.0,Dine-out,1.0,849.0,"North Indian, Bihari"
BTM,Dhe Chef Cafe,No,No,3.57,200.0,Dine-out,1.0,3638.0,"North Indian, Rolls"
BTM,Grillopia,Yes,No,3.8,374.2701393095094,Delivery,1.0,2109.0,"Burger, Pizza, Fast Food"
Jayanagar,Udupi Sri Krishna Cafe,Yes,No,3.9,600.0,Dine-out,9.0,482.0,"North Indian, South Indian"
HSR,Onesta,Yes,Yes,4.4,600.0,Delivery,4.0,4.0,"Pizza, Cafe, Italian"
Bellandur,Atithi Aramane Veg,Yes,No,3.9,300.0,Delivery,8.0,3025.0,"South Indian, North Indian, Chinese"
Marathahalli,Ustaad Biryani,Yes,No,3.54,250.0,Delivery,3.0,2729.0,Biryani
Bellandur,Northern Tadka,No,No,3.52,400.0,Delivery,8.0,4864.0,North Indian
Shivajinagar,Tiger Trail - Ramada Hotel,Yes,Yes,4.0,298.6344537815126,Buffet,40.0,942.0,"North Indian, Lucknowi"
Richmond Road,Sunehri,No,No,3.7,500.0,Buffet,31.0,2584.0,South Indian
Indiranagar,Bean Flickers,Yes,No,4.3,700.0,Delivery,2.0,1848.0,"Cafe, American, Fast Food, Coffee, Continental"
Banashankari,Vaishali Deluxe,No,No,3.8,700.0,Delivery,13.0,6012.0,"North Indian, Chinese"
Banashankari,Spice Elephant,Yes,No,4.1,800.0,Delivery,13.0,1614.0,"Chinese, North Indian, Thai"
Basavanagudi,Cake Ghar,Yes,No,3.8,400.0,Desserts,18.0,3313.0,Bakery
Basavanagudi,Cake Art,No,No,3.5,400.0,Desserts,18.0,1112.0,Bakery
Banashankari,Dakshin Grand,Yes,No,3.0,300.0,Dine-out,13.0,3561.0,"South Indian, North Indian, Chinese, Street Food"
Banashankari,7 Hills Garden Restaurant,Yes,No,3.65,400.0,Dine-out,13.0,2817.0,"North Indian, Mughlai, Chinese"
BTM,Hari Super Sandwich,Yes,No,3.9,100.0,Delivery,1.0,177.0,"Sandwich, Fast Food"
BTM,Xpress Chai,Yes,No,3.3,150.0,Delivery,1.0,388.0,"Tea, Fast Food"
BTM,Day N Night Kitchen,No,No,3.2,450.0,Delivery,1.0,6709.0,"Biryani, Chinese, North Indian"
JP Nagar,Night Panda,No,No,2.9,500.0,Delivery,6.0,1475.0,"Fast Food, North Indian, Chinese"
BTM,E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,No,No,3.5,550.0,Delivery,1.0,6796.0,"Chinese, North Indian, Biryani"
Bannerghatta Road,Butterly,Yes,No,3.9,450.0,Desserts,7.0,1087.0,"Cafe, Bakery, Beverages"
Bannerghatta Road,Soup Station,Yes,No,3.6,250.0,Dine-out,7.0,309.0,Continental
JP Nagar,Parkview,No,No,4.0,300.0,Dine-out,6.0,7843.0,"South Indian, North Indian, Chinese"
JP Nagar,Maland Restaurant Veg & Non-Veg,No,No,3.68,250.0,Dine-out,6.0,7517.0,North Indian
Jayanagar,Fusion Theory,No,Yes,3.78,700.0,Buffet,9.0,813.0,"Chinese, Continental, North Indian, South Indian, Beverages"
Basavanagudi,Joshi's Mumbai Masala,No,No,3.3,150.0,Dine-out,18.0,7235.0,"Street Food, Fast Food"
HSR,Nanda's,Yes,No,2.9,450.0,Delivery,4.0,447.0,"North Indian, Chinese, Andhra"
Bellandur,Biryani Kitchen,No,No,3.5,350.0,Dine-out,8.0,327.0,Biryani
Sarjapur Road,Donne Biriyani House,Yes,No,3.2,300.0,Dine-out,10.0,94.0,Biryani
Sarjapur Road,Kabab Magic,Yes,No,2.9,400.0,Dine-out,10.0,59.0,"North Indian, Kebab, Chinese, Fast Food"
Vasanth Nagar,Pai Vihar,Yes,No,2.8,400.0,Delivery,42.0,888.0,"South Indian, Street Food, Chinese, Fast Food"
Banashankari,Gama Gama,Yes,No,3.9,200.0,Delivery,13.0,3839.0,South Indian
Basavanagudi,Right Pizza,Yes,No,3.67,300.0,Delivery,18.0,5159.0,Pizza
Banashankari,The Krishna Grand,Yes,No,3.9,750.0,Delivery,13.0,2659.0,"North Indian, South Indian, Chinese, Fast Food, Juices"
Banashankari,Kettle & Kegs,Yes,No,3.2,200.0,Delivery,13.0,115.0,"Tea, Beverages"
Banashankari,Blue Wings Bar & Restaurant,No,No,3.7,700.0,Dine-out,13.0,3216.0,"North Indian, Chinese"
Basavanagudi,Food Geek,Yes,No,3.8,350.0,Dine-out,18.0,3781.0,"Sandwich, Fast Food, Rolls"
Bannerghatta Road,Upahara Bhavan,Yes,No,3.8,300.0,Delivery,7.0,5992.0,"South Indian, North Indian, Chinese"
